layer1,layer2,layer3
3792,-95,1976
-295,9126,3748
-4028,1209,773
2880,700,2939
2060,-1137,3225
1440,556,2701
1607,1066,1262
3372,2359,840
2898,2533,-107
-368,4076,2628
848,1775,-999
3320,2072,1180
-193,327,6004
3158,7265,8221
2791,3766,-73
1898,58,-2198
-5760,1106,-33
1010,2819,373
2910,5612,2837
1961,2431,2839
1388,5063,-888
1398,138,1180
1647,5586,2408
-5775,2434,-794
3020,2093,-668
-2093,1680,4188
2863,4019,-102
-7399,1023,2726
3012,-453,2473
-473,2025,-2015
1393,4297,-3073
2128,2218,3900
398,2929,1097
-10449,3527,-4925
672,3580,449
213,2176,-563
-3901,2374,2751
-3732,178,-368
-7164,-499,-401
-4384,-683,146
366,1478,4216
-1212,2129,5927
-4739,802,4719
4206,6519,-865
825,2556,3442
2881,3067,-1303
-12586,579,-5732
3611,2792,2899
-867,1280,3673
3735,-528,-1379
1658,435,3107
2026,3417,-200
-718,-651,7639
2853,5380,-1557
-1197,-3053,-969
3615,-399,-1336
-699,4615,5151
2277,-248,-1602
3446,1544,2224
1938,-2171,830
2249,1084,3695
3941,4610,-5519
568,3334,5877
-3494,1170,-117
